a;b;c;d;e;f;g;h
eins;"""";drei;"""""";";""";sechs;;acht
"so ""
"";"";;Bruch";d;as;;;ds;;
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
1;2;3;4;5;6;7;8
